method,n,ari_A_mean,ari_B_mean,ari_diff_mean,ari_rel_diff_mean,nmi_A_mean,nmi_B_mean,nmi_diff_mean,nmi_rel_diff_mean,accuracy_A_mean,accuracy_B_mean,accuracy_diff_mean,accuracy_rel_diff_mean,macro_f1_A_mean,macro_f1_B_mean,macro_f1_diff_mean,macro_f1_rel_diff_mean
agglomerative,254,0.6513880492828686,0.6766308679853212,0.025242818702452638,0.03875235158250619,0.7709329746466269,0.7957968219250042,0.024863847278377305,0.032251632886470025,0.7401692913385827,0.7629370078740157,0.022767716535433073,0.030760147444455686,0.7138759564580957,0.7366921102459227,0.022816153787827108,0.03196095005220475
kmeans,254,0.6350348429207042,0.6573793996666133,0.022344556745909093,0.03518634763903687,0.7422000195325857,0.7635792791097463,0.021379259577160498,0.028805253320559825,0.7267204724409448,0.74751968503937,0.0207992125984252,0.028620650425002864,0.7043066863195829,0.7220781469565639,0.01777146063698106,0.02523255988076349
maxmin,254,0.6048455395088532,0.6138716186638862,0.009026079155033052,0.014922949026560252,0.7101553980529979,0.7204593203104749,0.010303922257477243,0.014509390882230593,0.7089409448818896,0.7215354330708661,0.012594488188976377,0.017765214831927525,0.6819257232758521,0.6920340520817011,0.01010832880584895,0.014823210887676084
