dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari,nmi,accuracy,macro_f1
noise0_shift2,maxmin,N,Y,N,N,N,N,Y,N,0.1478827985091281,0.36092595461620236,0.346,0.2868507297407738
noise0_shift2,agglomerative,N,Y,N,N,N,N,Y,N,0.17893377859454274,0.419940237308276,0.378,0.33749033316573507
noise0_shift2,kmeans,N,N,Y,Y,N,N,N,N,0.27436666245792696,0.47514117940546646,0.453,0.42843401363609546
noise0_shift2,maxmin,N,N,Y,Y,N,N,N,N,0.2032231015987108,0.42742728426407234,0.415,0.32581650249896377
noise0_shift2,agglomerative,N,N,Y,Y,N,N,N,N,0.22963474158233355,0.47292727551803476,0.409,0.3640605299036005
noise0_shift2,kmeans,N,N,Y,N,Y,N,N,N,0.19785260550676206,0.38666642865174833,0.42,0.3635472112856903
noise0_shift2,maxmin,N,N,Y,N,Y,N,N,N,0.15065166886094955,0.3531165827749706,0.379,0.3244148715403622
noise0_shift2,agglomerative,N,N,Y,N,Y,N,N,N,0.1742258234194711,0.3714683689330394,0.383,0.3494933634690335
noise0_shift2,kmeans,N,N,Y,N,N,Y,N,N,0.6994364902041985,0.8359843746225777,0.802,0.7615789304748126
noise0_shift2,maxmin,N,N,Y,N,N,Y,N,N,0.33696565818063245,0.6301093802438373,0.593,0.5148918507995677
noise0_shift2,agglomerative,N,N,Y,N,N,Y,N,N,0.8016571803589894,0.9197361902087028,0.857,0.8215826583837907
noise0_shift2,kmeans,N,N,Y,N,N,N,Y,N,0.488130668306904,0.6758662827081298,0.631,0.6060282658162571
noise0_shift2,maxmin,N,N,Y,N,N,N,Y,N,0.2816651946912757,0.5169031463546231,0.446,0.36853035409797863
noise0_shift2,agglomerative,N,N,Y,N,N,N,Y,N,0.5766401280553914,0.7798018193897467,0.658,0.5804475620119262
noise0_shift2,kmeans,N,N,N,Y,Y,N,N,N,0.1879892016717452,0.38265769466779925,0.394,0.3253144268008118
noise0_shift2,maxmin,N,N,N,Y,Y,N,N,N,0.17335740864165258,0.380288130818422,0.407,0.31281747370434254
noise0_shift2,agglomerative,N,N,N,Y,Y,N,N,N,0.2441241490483356,0.4773442474697882,0.436,0.39523350366292453
noise0_shift2,kmeans,N,N,N,Y,N,Y,N,N,0.37295359964629854,0.61762857971966,0.534,0.523114827891227
noise0_shift2,maxmin,N,N,N,Y,N,Y,N,N,0.23355537798263423,0.48134920741758486,0.455,0.4166752891219482
noise0_shift2,agglomerative,N,N,N,Y,N,Y,N,N,0.43241717839726007,0.6537261956137392,0.584,0.5596122122481009
noise0_shift2,kmeans,N,N,N,Y,N,N,Y,N,0.3520988597806026,0.5718334352746206,0.512,0.48862759055911614
noise0_shift2,maxmin,N,N,N,Y,N,N,Y,N,0.2512027450159538,0.4882808303597129,0.47,0.42715650251700243
noise0_shift2,agglomerative,N,N,N,Y,N,N,Y,N,0.34669412803000826,0.5754208455391263,0.521,0.46255615985588905
noise0_shift2,kmeans,N,N,N,N,Y,Y,N,N,0.37645637326273246,0.6125838386795065,0.569,0.5452089171941054
noise0_shift2,maxmin,N,N,N,N,Y,Y,N,N,0.24274560211560484,0.5193077478944477,0.502,0.46477704076132415
noise0_shift2,agglomerative,N,N,N,N,Y,Y,N,N,0.4194230589364114,0.647265272914661,0.582,0.5232242178735664
noise0_shift2,kmeans,N,N,N,N,Y,N,Y,N,0.2904869029533047,0.5106254528329071,0.474,0.4001217198218008
noise0_shift2,maxmin,N,N,N,N,Y,N,Y,N,0.15932893578471125,0.4058194817151741,0.424,0.39338565448105933
noise0_shift2,agglomerative,N,N,N,N,Y,N,Y,N,0.33987609167677185,0.5477313437264335,0.532,0.4408882836867674
noise0_shift2,kmeans,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,maxmin,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,agglomerative,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,kmeans,Y,Y,Y,N,N,N,N,N,0.151700006092295,0.3669889104635987,0.351,0.2676479022840289
noise0_shift2,maxmin,Y,Y,Y,N,N,N,N,N,0.1970572985262434,0.408104296859637,0.405,0.34852904489243997
noise0_shift2,agglomerative,Y,Y,Y,N,N,N,N,N,0.20266220729447493,0.473388013815115,0.42,0.3634579401774975
noise0_shift2,kmeans,Y,Y,N,Y,N,N,N,N,0.18808232810540235,0.425991301267469,0.399,0.30721328281599
noise0_shift2,maxmin,Y,Y,N,Y,N,N,N,N,0.12874455761650128,0.3231914623136754,0.37,0.33194580428898746
noise0_shift2,agglomerative,Y,Y,N,Y,N,N,N,N,0.20926218880636738,0.44801860538212224,0.404,0.3358011302003443
noise0_shift2,kmeans,Y,Y,N,N,Y,N,N,N,0.1701097365480435,0.41542747210735087,0.393,0.3190724533371571
noise0_shift2,maxmin,Y,Y,N,N,Y,N,N,N,0.123290656022033,0.3267785571324774,0.366,0.3215150891748991
noise0_shift2,agglomerative,Y,Y,N,N,Y,N,N,N,0.26710616450349867,0.5173162643780899,0.493,0.41935940882059164
noise0_shift2,kmeans,Y,Y,N,N,N,Y,N,N,0.2104705754193358,0.45504306935643807,0.421,0.3469353129982051
noise0_shift2,maxmin,Y,Y,N,N,N,Y,N,N,0.18432760557197075,0.39298764826757054,0.374,0.33536433990081943
noise0_shift2,agglomerative,Y,Y,N,N,N,Y,N,N,0.23850991507410674,0.5157503503534604,0.432,0.3650047460270066
noise0_shift2,kmeans,Y,Y,N,N,N,N,Y,N,0.1753832366367136,0.3889373387025104,0.367,0.32190011353850667
noise0_shift2,maxmin,Y,Y,N,N,N,N,Y,N,0.14718283479763775,0.3645227854815292,0.346,0.2875990461097998
noise0_shift2,agglomerative,Y,Y,N,N,N,N,Y,N,0.17893377859454274,0.419940237308276,0.378,0.33749033316573507
noise0_shift2,kmeans,Y,N,Y,Y,N,N,N,N,0.28301426359743237,0.49161835931456493,0.468,0.4283891739038557
noise0_shift2,maxmin,Y,N,Y,Y,N,N,N,N,0.2032231015987108,0.42742728426407234,0.415,0.32581650249896377
noise0_shift2,agglomerative,Y,N,Y,Y,N,N,N,N,0.22826433785197758,0.4771306821587831,0.409,0.36128700582654233
noise0_shift2,kmeans,Y,N,Y,N,Y,N,N,N,0.1652671875162983,0.3425377399646676,0.398,0.35644510329697227
noise0_shift2,maxmin,Y,N,Y,N,Y,N,N,N,0.15123672065310184,0.3548004742813336,0.38,0.3250819307591869
noise0_shift2,agglomerative,Y,N,Y,N,Y,N,N,N,0.15250963805953188,0.33166494313959777,0.368,0.28502058184610746
noise0_shift2,kmeans,Y,N,Y,N,N,Y,N,N,0.7308028399005362,0.8560749930185377,0.849,0.8165665485561482
noise0_shift2,maxmin,Y,N,Y,N,N,Y,N,N,0.2951225883836983,0.5699588398611817,0.537,0.4581335538378646
noise0_shift2,agglomerative,Y,N,Y,N,N,Y,N,N,0.8016571803589894,0.919736190208703,0.857,0.8215826583837907
noise0_shift2,kmeans,Y,N,Y,N,N,N,Y,N,0.47801021457971654,0.6776874114685733,0.628,0.6000484007367429
noise0_shift2,maxmin,Y,N,Y,N,N,N,Y,N,0.2820792300951099,0.5172567539839291,0.446,0.36853035409797863
noise0_shift2,agglomerative,Y,N,Y,N,N,N,Y,N,0.557297689132228,0.7477168890455997,0.645,0.6020048175051145
noise0_shift2,kmeans,Y,N,N,Y,Y,N,N,N,0.1867295051749535,0.4029302210439079,0.391,0.3151625987449907
noise0_shift2,maxmin,Y,N,N,Y,Y,N,N,N,0.17335740864165258,0.380288130818422,0.407,0.31281747370434254
noise0_shift2,agglomerative,Y,N,N,Y,Y,N,N,N,0.23849145726837997,0.48081238823117506,0.436,0.3933163862688206
noise0_shift2,kmeans,Y,N,N,Y,N,Y,N,N,0.3346808965133623,0.583598314775335,0.505,0.45502967618353507
noise0_shift2,maxmin,Y,N,N,Y,N,Y,N,N,0.2561652801076545,0.49688448270881064,0.474,0.4502191882428884
noise0_shift2,agglomerative,Y,N,N,Y,N,Y,N,N,0.43241717839726007,0.6537261956137392,0.584,0.5596122122481009
noise0_shift2,kmeans,Y,N,N,Y,N,N,Y,N,0.3373272390155187,0.5483500181114485,0.485,0.4495801032287031
noise0_shift2,maxmin,Y,N,N,Y,N,N,Y,N,0.25729205405854294,0.48699502776231646,0.461,0.4179839804198857
noise0_shift2,agglomerative,Y,N,N,Y,N,N,Y,N,0.34669412803000826,0.5754208455391263,0.521,0.46255615985588905
noise0_shift2,kmeans,Y,N,N,N,Y,Y,N,N,0.40355428318884756,0.629869767957186,0.593,0.5656069187994602
noise0_shift2,maxmin,Y,N,N,N,Y,Y,N,N,0.24162919832471633,0.5069469908789379,0.492,0.4487808455225464
noise0_shift2,agglomerative,Y,N,N,N,Y,Y,N,N,0.41723031773269587,0.6467680224020773,0.578,0.5414606536688837
noise0_shift2,kmeans,Y,N,N,N,Y,N,Y,N,0.28104688687794305,0.4987500530046077,0.468,0.39663820824065865
noise0_shift2,maxmin,Y,N,N,N,Y,N,Y,N,0.15233362911878193,0.3934074440583174,0.412,0.3818790806045428
noise0_shift2,agglomerative,Y,N,N,N,Y,N,Y,N,0.32069762730770085,0.5477299929671504,0.503,0.4441963887813915
noise0_shift2,kmeans,Y,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,maxmin,Y,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,agglomerative,Y,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,kmeans,N,Y,Y,Y,N,N,N,N,0.20903398130725626,0.444337587435362,0.393,0.3012021599942877
noise0_shift2,maxmin,N,Y,Y,Y,N,N,N,N,0.1297218443813955,0.3156333945700071,0.363,0.29222623463245334
noise0_shift2,agglomerative,N,Y,Y,Y,N,N,N,N,0.24023262968641979,0.478016942062733,0.455,0.41410855846869754
noise0_shift2,kmeans,N,Y,Y,N,Y,N,N,N,0.1785290518300028,0.4058097462607067,0.408,0.29269310649370617
noise0_shift2,maxmin,N,Y,Y,N,Y,N,N,N,0.1834765223660298,0.3892309600739202,0.399,0.3365641048192524
noise0_shift2,agglomerative,N,Y,Y,N,Y,N,N,N,0.2588671579547581,0.5418860857033477,0.488,0.41458606433684125
noise0_shift2,kmeans,N,Y,Y,N,N,Y,N,N,0.21621073334305402,0.44593489729158553,0.403,0.35118396326734475
noise0_shift2,maxmin,N,Y,Y,N,N,Y,N,N,0.19962584544538783,0.42532028022273366,0.441,0.4025053910111067
noise0_shift2,agglomerative,N,Y,Y,N,N,Y,N,N,0.3306590930311511,0.6073509449802732,0.517,0.48375562266582994
noise0_shift2,kmeans,N,Y,Y,N,N,N,Y,N,0.23048012853241753,0.46876414661481025,0.448,0.39077985652063507
noise0_shift2,maxmin,N,Y,Y,N,N,N,Y,N,0.15455116940886576,0.3513055575160891,0.378,0.31589716507395377
noise0_shift2,agglomerative,N,Y,Y,N,N,N,Y,N,0.3062772855435952,0.5712166606414261,0.498,0.43485104291380966
noise0_shift2,kmeans,N,Y,N,Y,Y,N,N,N,0.21548901194762787,0.45605934441131174,0.414,0.3525663632413491
noise0_shift2,maxmin,N,Y,N,Y,Y,N,N,N,0.14492686583946876,0.3532863848690347,0.386,0.3098655284526576
noise0_shift2,agglomerative,N,Y,N,Y,Y,N,N,N,0.23335549411289572,0.4847673430303024,0.469,0.37082526457039294
noise0_shift2,kmeans,N,Y,N,Y,N,Y,N,N,0.22395025844459404,0.4562450003700544,0.403,0.3697276218196792
noise0_shift2,maxmin,N,Y,N,Y,N,Y,N,N,0.1384166546779267,0.3319166220172807,0.38,0.32885147137071985
noise0_shift2,agglomerative,N,Y,N,Y,N,Y,N,N,0.29340891486073667,0.558084281991203,0.492,0.43636308394818035
noise0_shift2,kmeans,N,Y,N,Y,N,N,Y,N,0.20587841235037088,0.4426416788540634,0.43,0.3465941964345151
noise0_shift2,maxmin,N,Y,N,Y,N,N,Y,N,0.14400688745210935,0.34995799792040094,0.363,0.3233652287263827
noise0_shift2,agglomerative,N,Y,N,Y,N,N,Y,N,0.26150740580855736,0.5242754290610664,0.447,0.3803519407168342
