dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari_A,nmi_A,accuracy_A,macro_f1_A,ari_B,nmi_B,accuracy_B,macro_f1_B,ari_diff,ari_rel_diff,nmi_diff,nmi_rel_diff,accuracy_diff,accuracy_rel_diff,macro_f1_diff,macro_f1_rel_diff
noise0_shift2,maxmin,Y,Y,N,N,N,N,N,N,0.1577705470280428,0.3604058899050965,0.346,0.2984574730640825,0.1577705470280428,0.3604058899050965,0.346,0.2984574730640825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,agglomerative,Y,Y,N,N,N,N,N,N,0.1670772646257781,0.423544197066481,0.383,0.2973919252883797,0.1708497537557833,0.4201000225984194,0.383,0.2971854922890015,0.003772489130005191,0.022579308671678715,-0.0034441744680616115,-0.008131794726303385,0.0,0.0,-0.00020643299937822546,-0.000694144601196042
noise0_shift2,kmeans,Y,N,Y,N,N,N,N,N,0.2933406320709347,0.502851359573513,0.482,0.4715945107867778,0.3098754828434363,0.496692220710433,0.494,0.450221852399977,0.016534850772501608,0.05636740691450887,-0.006159138863080005,-0.012248428379121417,0.01200000000000001,0.024896265560165998,-0.021372658386800802,-0.04531998973258625
noise0_shift2,maxmin,Y,N,Y,N,N,N,N,N,0.2576689747566787,0.477830489086801,0.458,0.4048757958080961,0.1819102202987334,0.4112268773167015,0.425,0.3836280870793893,-0.0757587544579453,-0.2940158182780275,-0.06660361177009949,-0.13938753028796477,-0.03300000000000003,-0.07205240174672495,-0.021247708728706793,-0.05247957262127329
noise0_shift2,agglomerative,Y,N,Y,N,N,N,N,N,0.3146631883640297,0.5588772812098313,0.506,0.5011550874643766,0.3469680458873738,0.5693640259667114,0.531,0.4679279797868701,0.03230485752334411,0.10266487697941663,0.010486744756880162,0.01876394891948184,0.025000000000000022,0.04940711462450597,-0.03322710767750653,-0.06630104833539856
noise0_shift2,kmeans,Y,N,N,Y,N,N,N,N,0.2479924100253577,0.4641501847280906,0.445,0.4283513368932651,0.2479924100253577,0.4641501847280906,0.445,0.4283513368932651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,maxmin,Y,N,N,Y,N,N,N,N,0.2261817914041209,0.4488655219435885,0.432,0.391682199071975,0.2261817914041209,0.4488655219435885,0.432,0.391682199071975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,agglomerative,Y,N,N,Y,N,N,N,N,0.2576380537814968,0.4877103353305563,0.448,0.3975665871362078,0.2576380537814968,0.4877103353305563,0.448,0.3975665871362078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,kmeans,Y,N,N,N,Y,N,N,N,0.1226943690646306,0.2844727028430805,0.345,0.3085069926166127,0.1026998116538924,0.2521607553576578,0.319,0.2355915016552943,-0.019994557410738203,-0.1629623067722517,-0.03231194748542271,-0.11358540613032553,-0.025999999999999968,-0.07536231884057962,-0.07291549096131839,-0.2363495567568279
noise0_shift2,maxmin,Y,N,N,N,Y,N,N,N,0.1133752531389519,0.3111101321198145,0.363,0.3481816716228585,0.113572617469092,0.3033178229611824,0.331,0.2875731230815407,0.00019736433014010124,0.001740806081360744,-0.007792309158632049,-0.025046786826059018,-0.03199999999999997,-0.08815426997245172,-0.06060854854131781,-0.17407162260673917
noise0_shift2,agglomerative,Y,N,N,N,Y,N,N,N,0.1354682048927432,0.3085985393902153,0.344,0.2740156339157216,0.1260032237814818,0.2995847346504908,0.335,0.2802668362005803,-0.0094649811112614,-0.06986865381995198,-0.009013804739724518,-0.029208837985868697,-0.008999999999999952,-0.02616279069767428,0.0062512022848587034,0.022813305195503453
