metric,mean_A,mean_B,mean_diff,mean_rel_diff,win,tie,lose,total
ari,0.6304228105708086,0.6492939621052737,0.018871151534464926,0.02993411916262739,250,413,99,762
nmi,0.7410961307440701,0.7599451404484086,0.01884900970433835,0.02543396048420034,261,413,88,762
accuracy,0.7252769028871392,0.7439973753280841,0.018720472440944887,0.02581148298866755,278,417,67,762
macro_f1,0.7000361220178436,0.7169347697613958,0.01689864774355237,0.024139679670874856,253,413,96,762
