dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari,nmi,accuracy,macro_f1
noise0_shift2,maxmin,N,Y,N,N,N,N,Y,N,0.1698955609181259,0.3837101223889156,0.37,0.3250649915313228
noise0_shift2,agglomerative,N,Y,N,N,N,N,Y,N,0.17288318964252056,0.4298782708533663,0.385,0.29916248194573253
noise0_shift2,kmeans,N,N,Y,Y,N,N,N,N,0.2354946008109185,0.4553328548771404,0.439,0.365724923659449
noise0_shift2,maxmin,N,N,Y,Y,N,N,N,N,0.22304185499398615,0.4413406155062834,0.419,0.3684352862433904
noise0_shift2,agglomerative,N,N,Y,Y,N,N,N,N,0.25329882457113295,0.5053714040037605,0.424,0.37911063060127503
noise0_shift2,kmeans,N,N,Y,N,Y,N,N,N,0.17625750459258552,0.38095833310260285,0.371,0.3001464633106109
noise0_shift2,maxmin,N,N,Y,N,Y,N,N,N,0.16257215759125776,0.3718445641526239,0.364,0.31420478783249456
noise0_shift2,agglomerative,N,N,Y,N,Y,N,N,N,0.208409246607838,0.4498892101380577,0.395,0.3537529283823061
noise0_shift2,kmeans,N,N,Y,N,N,Y,N,N,0.5732096799937628,0.7334419870932821,0.719,0.7218052061172531
noise0_shift2,maxmin,N,N,Y,N,N,Y,N,N,0.2509327785926616,0.5299390840586737,0.475,0.3749278601441879
noise0_shift2,agglomerative,N,N,Y,N,N,Y,N,N,0.618913150568105,0.7972188967111712,0.695,0.6587017655429583
noise0_shift2,kmeans,N,N,Y,N,N,N,Y,N,0.2969911323855584,0.5407345778785734,0.486,0.448409848568892
noise0_shift2,maxmin,N,N,Y,N,N,N,Y,N,0.263480169796797,0.48641378952917236,0.466,0.4068956391579405
noise0_shift2,agglomerative,N,N,Y,N,N,N,Y,N,0.4212066868674376,0.6379574484604894,0.579,0.514492338605314
noise0_shift2,kmeans,N,N,N,Y,Y,N,N,N,0.24278112349699493,0.4629877334807316,0.452,0.4022136568914199
noise0_shift2,maxmin,N,N,N,Y,Y,N,N,N,0.17725778968646663,0.3974361992004873,0.39,0.377883351235722
noise0_shift2,agglomerative,N,N,N,Y,Y,N,N,N,0.20037734367975246,0.4292832052243357,0.371,0.33035260708625475
noise0_shift2,kmeans,N,N,N,Y,N,Y,N,N,0.25600876770157344,0.4773753496363946,0.426,0.38320221296649776
noise0_shift2,maxmin,N,N,N,Y,N,Y,N,N,0.22729484375281375,0.46083158773216537,0.446,0.39754615405873717
noise0_shift2,agglomerative,N,N,N,Y,N,Y,N,N,0.32447517185003455,0.5761560076086442,0.488,0.4013867073391932
noise0_shift2,kmeans,N,N,N,Y,N,N,Y,N,0.2013220668165847,0.41462527521255943,0.376,0.34152600869414707
noise0_shift2,maxmin,N,N,N,Y,N,N,Y,N,0.2284746984966667,0.45371000406785617,0.436,0.3944196393163604
noise0_shift2,agglomerative,N,N,N,Y,N,N,Y,N,0.2576380537814968,0.48771033533055635,0.448,0.39756658713620785
noise0_shift2,kmeans,N,N,N,N,Y,Y,N,N,0.40355428318884756,0.6298697679571859,0.593,0.5656069187994602
noise0_shift2,maxmin,N,N,N,N,Y,Y,N,N,0.2666172372391296,0.5339260619993266,0.514,0.4686762220401072
noise0_shift2,agglomerative,N,N,N,N,Y,Y,N,N,0.4360509918472906,0.6997147104107346,0.616,0.5579933987613028
noise0_shift2,kmeans,N,N,N,N,Y,N,Y,N,0.17670424596827206,0.3384154644440069,0.413,0.33499747173975913
noise0_shift2,maxmin,N,N,N,N,Y,N,Y,N,0.12834374544517316,0.350639205850306,0.372,0.353109645405932
noise0_shift2,agglomerative,N,N,N,N,Y,N,Y,N,0.19057241402105998,0.39481002755620276,0.41,0.37508410479346893
noise0_shift2,kmeans,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,maxmin,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,agglomerative,N,N,N,N,N,Y,Y,N,1.0,1.0,1.0,1.0
noise0_shift2,kmeans,Y,Y,Y,N,N,N,N,N,0.17341097642324085,0.37480050674980947,0.383,0.34671150253979227
noise0_shift2,maxmin,Y,Y,Y,N,N,N,N,N,0.18673686465808917,0.3932265227541514,0.392,0.33011457769261143
noise0_shift2,agglomerative,Y,Y,Y,N,N,N,N,N,0.20266220729447493,0.473388013815115,0.42,0.3634579401774975
noise0_shift2,kmeans,Y,Y,N,Y,N,N,N,N,0.22576839183215633,0.4697339000979058,0.401,0.36505882295206504
noise0_shift2,maxmin,Y,Y,N,Y,N,N,N,N,0.19638408373903815,0.40039279435250186,0.41,0.3681212720308826
noise0_shift2,agglomerative,Y,Y,N,Y,N,N,N,N,0.24511266113183863,0.505428721563827,0.425,0.3822169563243563
noise0_shift2,kmeans,Y,Y,N,N,Y,N,N,N,0.14763217483385008,0.3768451296482387,0.347,0.25587038402850176
noise0_shift2,maxmin,Y,Y,N,N,Y,N,N,N,0.11441481182288551,0.29688327158515576,0.342,0.276288271225674
noise0_shift2,agglomerative,Y,Y,N,N,Y,N,N,N,0.2270321009493657,0.5084281979966991,0.465,0.41953957268963604
noise0_shift2,kmeans,Y,Y,N,N,N,Y,N,N,0.1764005053537067,0.38733275392701405,0.375,0.3315643620800991
noise0_shift2,maxmin,Y,Y,N,N,N,Y,N,N,0.15463307302833174,0.35952425313471637,0.353,0.3097701026917799
noise0_shift2,agglomerative,Y,Y,N,N,N,Y,N,N,0.2443060172490283,0.4890472649043902,0.432,0.32361343060400793
noise0_shift2,kmeans,Y,Y,N,N,N,N,Y,N,0.18252442117709092,0.3993699602132742,0.384,0.31197090472236655
noise0_shift2,maxmin,Y,Y,N,N,N,N,Y,N,0.15976166204191689,0.3668674235080399,0.349,0.3027553187877431
noise0_shift2,agglomerative,Y,Y,N,N,N,N,Y,N,0.1789276632621148,0.4367443665046538,0.394,0.30809662726243836
noise0_shift2,kmeans,Y,N,Y,Y,N,N,N,N,0.2610567509362006,0.4741119150751591,0.45,0.40374289554947573
